"Conventional","Bias-Corrected","Robust","","","Conventional","Bias-Corrected","Robust","",""
1,1,1,1,1,0.863702290495404,0.863702290495404,1.02782831908837,1.10913820405512,0.775134168484824
1,1,1,1,1,0.76967922573146,0.76967922573146,0.893305467730802,0.866713492584836,0.671494902374454
1,1,1,1,1,0.790369610250785,0.790369610250785,0.963870887908484,1.37245434592474,0.867401177602829
1,0,1,1,1,0.878031898352785,0.878031898352785,1.04192887164343,1.11074043682527,0.822718372150499
1,1,1,1,1,0.864145953771673,0.864145953771673,1.0161142450613,1.12539341052556,0.766831698004739
1,1,1,1,1,0.764760005986844,0.764760005986844,0.911641507865803,1.05710940739461,0.872743431899716
1,1,1,1,1,0.90580857845569,0.90580857845569,1.07185989338107,1.2207758906255,0.751018049360306
1,1,1,1,1,0.632574981489616,0.632574981489616,0.727745561602213,0.729466281415707,0.654781821536092
1,1,1,1,1,0.761068654651809,0.761068654651809,0.919458764519274,0.750128614409639,0.687068054146899
1,1,1,1,1,0.841132066961626,0.841132066961626,1.03298360089226,1.44209681364922,0.740818158976821
1,1,1,1,1,0.871409075173115,0.871409075173115,1.03502521491198,1.08392481233431,0.856690040822383
1,1,1,1,1,0.828610566751646,0.828610566751646,0.985544598409833,1.29475450458954,0.77041321452724
1,1,1,1,1,0.886013424679746,0.886013424679746,1.07653373141106,0.839164804706459,0.61095666497466
0,0,0,0,1,1.4469015427968,1.4469015427968,1.69373617448969,1.88682042657142,0.897435327390394
1,1,1,1,1,0.749742378551699,0.749742378551699,0.882377542338828,0.971479242757121,0.674508541724995
0,0,1,1,1,0.901886239200567,0.901886239200567,1.09103196533936,1.30581801116871,0.646648564619759
1,1,1,1,1,0.676383403216551,0.676383403216551,0.789966318884499,0.842168255574099,0.692503604183495
1,1,1,1,1,0.787061389637004,0.787061389637004,0.918363581361137,0.923414051175995,0.682875211798459
1,1,1,1,1,0.721944408351164,0.721944408351164,0.865342112263712,0.781012063982561,0.68533005788831
1,1,1,1,1,0.693920501436677,0.693920501436677,0.810687532114323,0.964217007737528,0.672515873045676
1,1,1,1,1,0.96568625356537,0.96568625356537,1.11122517844853,1.12079084625921,0.668473474188271
1,1,1,1,1,0.812205014286625,0.812205014286625,0.989218272010264,1.03160011589955,0.733998870274726
1,1,1,1,1,0.829851802784087,0.829851802784087,0.979573778326303,0.924222037635988,0.675706779189278
1,1,1,1,1,0.80281128369816,0.80281128369816,0.950159430612169,1.17994054696778,0.75418335518599
1,1,1,1,1,0.833710233079376,0.833710233079376,1.02421549107501,1.42982688966512,0.754413581862626
1,1,1,1,1,0.56233514075846,0.56233514075846,0.667236969827162,0.887618964098548,0.572185968321011
1,1,1,1,1,0.801129519045298,0.801129519045298,0.971201120639338,1.12627999906943,0.891019879040826
1,1,1,1,1,0.636945237608495,0.636945237608495,0.757701706867582,0.899032745881564,0.626659114251605
1,1,1,1,1,0.650189038321953,0.650189038321953,0.762068161175809,0.763447019079995,0.602196246142817
1,1,1,1,1,0.73345264760035,0.73345264760035,0.896404908114919,1.22401759625779,0.74327794406071
1,0,0,0,1,1.13645880778234,1.13645880778234,1.30050395128948,1.46716668651329,0.907765369878657
1,1,1,1,1,0.768281712442414,0.768281712442414,0.91951946610337,0.952669019879555,0.765340641864267
1,1,1,1,1,0.670615421576527,0.670615421576527,0.788500756736696,0.971300143318245,0.646382587915418
