"Conventional","Bias-Corrected","Robust","","","","Conventional","Bias-Corrected","Robust","","",""
0,0,1,1,0,1,0.797220712768967,0.797220712768967,0.941871307365819,1.09938284922267,0.788652988475979,0.943544829577814
1,1,1,1,1,1,1.0468903689074,1.0468903689074,1.18374108885929,1.48778698765192,1.02913381143956,1.20607141552445
1,1,1,1,0,1,0.859663625675317,0.859663625675317,0.980348760350139,1.07423559831486,0.777192860818279,0.917472333833626
1,1,1,1,1,1,0.910347876757863,0.910347876757863,1.0827463063208,1.0825732517578,0.773928688189213,0.927608095075638
1,1,1,1,1,1,0.69966718115535,0.69966718115535,0.771369888187964,0.834366998245791,0.788526569250273,0.910183479549167
0,1,1,1,0,1,0.814025163430671,0.814025163430671,0.975780566409856,1.15923123458818,0.750222877648319,0.887595977574283
1,1,1,1,1,1,0.940903132370228,0.940903132370228,1.05273010117422,1.38462142114159,0.917224110253509,1.14883341286084
1,1,1,1,1,1,1.0177739955587,1.0177739955587,1.09694457087834,1.23436417761713,0.880464764457107,1.06755826386127
1,1,1,1,1,1,0.774443969907121,0.774443969907121,0.920059373084793,1.28546401293896,0.665747168873681,0.800057942690348
1,1,1,1,1,1,1.04438278084138,1.04438278084138,1.1979560492937,1.21496959237736,0.781891922658573,0.965126934777742
0,0,0,1,1,1,1.61027319630138,1.61027319630138,1.84680951374983,2.08820827206706,1.21236489717041,1.50721038793866
1,1,1,1,1,1,0.803532663440513,0.803532663440513,0.916388566374836,1.17621667932685,0.790872782807876,0.913425046049799
0,0,1,1,1,1,0.936856898505331,0.936856898505331,1.15442239889105,1.42128572098082,1.09803794964557,1.29697632940604
1,1,1,1,1,1,0.681549258076906,0.681549258076906,0.778770279587286,1.03816356135982,0.84974376430396,0.994928556551485
1,1,1,1,1,1,0.804286137334567,0.804286137334567,0.908653126081418,1.11736757792346,0.80227437007074,0.923093135376874
1,1,1,1,1,1,0.684658798048662,0.684658798048662,0.785070511399901,1.1270939066242,0.813321036283998,0.932909814483895
1,1,1,1,1,1,0.758894749234793,0.758894749234793,0.860453064321454,0.966709948215337,0.784610939667412,0.901063252629431
1,1,1,1,1,1,1.05450108358691,1.05450108358691,1.22656115745924,1.53870276291018,0.880386902613604,1.03764129773808
1,1,1,1,0,1,0.947182466216565,0.947182466216565,1.09208247610527,1.30957188656018,0.849482777418861,1.02419233585924
1,1,1,1,1,1,0.922726667992417,0.922726667992416,1.02023174344741,1.07034361747373,0.954083614760794,1.15085702266439
