"Conventional","Bias-Corrected","Robust","","","","Conventional","Bias-Corrected","Robust","","",""
1,1,1,1,0,1,0.267019177186843,0.267019177186843,0.304397623777294,0.366553501678727,0.286245247165888,0.339028420656081
1,1,1,1,0,1,0.306424109895042,0.306424109895042,0.336784143170769,0.495605509537689,0.342859314664028,0.405169788974502
0,1,1,1,0,1,0.279726044867694,0.279726044867694,0.298397325357187,0.380427212260271,0.319689769366946,0.377837813670412
1,1,1,1,1,1,0.328332663682249,0.328332663682249,0.384554949853353,0.426060316450183,0.370171085435313,0.446129546916387
1,1,1,1,0,1,0.266357413415296,0.266357413415296,0.295871954080664,0.410315289751347,0.304939226950096,0.350111248771846
1,1,1,1,0,1,0.290786538865456,0.290786538865456,0.327700786907697,0.399412702890578,0.307430407915469,0.369125022027698
1,1,1,1,1,1,0.204500652191607,0.204500652191607,0.226967331466124,0.34002278958283,0.295469062814665,0.35307053797745
0,0,1,0,0,1,0.26723639884756,0.26723639884756,0.322167721368158,0.41635964019044,0.294671309489963,0.371889534808529
1,1,1,1,0,1,0.376560233512458,0.376560233512458,0.409243685097877,0.561272812558336,0.343782521584311,0.440642002850923
1,1,1,1,1,1,0.303206223904185,0.303206223904185,0.325015127928166,0.415391137920241,0.366495151988684,0.433514436840429
1,1,1,1,0,1,0.256513003528251,0.256513003528251,0.274323112258065,0.374824752564472,0.295075991557365,0.357122529947014
1,1,1,1,1,1,0.343481777346156,0.343481777346156,0.366505346133943,0.459298277590353,0.421050802804302,0.521837168797254
0,0,0,1,1,1,0.4824968479417,0.4824968479417,0.531083482077499,0.774516700922802,0.472133618622253,0.590374813996169
1,1,1,1,1,1,0.234488768213832,0.234488768213832,0.265860600930163,0.416786787009984,0.326058086145125,0.387634381488585
0,0,0,1,0,1,0.27139684110099,0.27139684110099,0.334498767554014,0.561177864923756,0.390024622070798,0.494127550991774
0,1,1,1,0,1,0.201867946458882,0.201867946458882,0.229377307258935,0.395270248566445,0.325091926967172,0.419406913750669
1,1,1,1,0,1,0.263849853749172,0.263849853749172,0.283119976687807,0.385478105162586,0.300726369428869,0.343257191839554
1,1,1,1,1,1,0.234606202264604,0.234606202264604,0.254541715103266,0.379544765707136,0.293567045251937,0.352395316223554
1,1,1,1,0,1,0.231147792505064,0.231147792505064,0.251590447106461,0.32455273976717,0.284099504745293,0.327878286584749
1,1,1,1,1,1,0.318186949675312,0.318186949675312,0.377916600524726,0.575940993643344,0.434123786716944,0.539078414915179
1,1,1,1,0,1,0.270060327248355,0.270060327248355,0.296733802852611,0.648515105450399,0.356727637410385,0.448925022696065
1,1,1,1,1,1,0.28855857890041,0.28855857890041,0.313114666918606,0.397669510311369,0.306217048513765,0.362171183151927
1,1,1,1,0,1,0.242119682668914,0.242119682668914,0.306292572235197,0.50950619809618,0.33151260054167,0.389556383744966
1,1,1,1,0,1,0.324679380528767,0.324679380528767,0.380013747083965,0.511966350845062,0.324350697144356,0.375417941569147
1,1,1,1,0,1,0.214661809174999,0.214661809174999,0.2362956597029,0.354232908392881,0.239919086914727,0.275121105172458
0,1,1,1,0,1,0.257814125345829,0.257814125345829,0.278546588825629,0.302188369733525,0.297464136752114,0.367221711031256
1,1,1,1,1,1,0.241345628112032,0.241345628112032,0.271001381483215,0.438157910197109,0.267140312917363,0.334474397798256
1,0,0,1,1,1,0.17119315572586,0.17119315572586,0.192487171555105,0.387179922534062,0.326660392693262,0.389604235181743
1,1,1,1,0,1,0.327981871659307,0.327981871659307,0.344872077663916,0.547585435867624,0.352815563974221,0.456549503530641
0,0,0,1,1,1,0.3214102605369,0.3214102605369,0.366304919783656,0.496024681980325,0.35273611660366,0.408865187708599
1,1,1,1,0,1,0.227509975902453,0.227509975902453,0.270102170805083,0.392958237959029,0.338278657028724,0.402702299487078
1,1,1,1,1,1,0.21962288447648,0.21962288447648,0.243873005587671,0.357571855366532,0.294930659834211,0.345469502979722
1,1,1,1,1,1,0.26576347365078,0.265763473650779,0.306043408457421,0.388198180376476,0.313148528740036,0.368419432350616
0,0,0,1,0,0,0.205677630907384,0.205677630907384,0.235538660132772,0.395542163130308,0.263054013852884,0.305352396193513
1,1,1,1,0,1,0.242336147428499,0.242336147428499,0.271737630968249,0.411754431698308,0.288976539137028,0.365236712801561
1,1,1,1,1,1,0.263931454071386,0.263931454071385,0.297461238892637,0.421165697599244,0.274356937477297,0.330764052378759
1,1,1,1,0,1,0.347523170892527,0.347523170892527,0.375580197485799,0.4885372454238,0.365907111813999,0.450696599393806
1,1,1,1,0,1,0.210527506937723,0.210527506937723,0.227662247551196,0.327464762479937,0.288647065217502,0.349947909113287
0,0,1,1,0,1,0.258935801749165,0.258935801749165,0.301619743448761,0.400569039052994,0.362259038105781,0.442932437952253
1,1,1,1,0,1,0.255608421143372,0.255608421143372,0.277198001887522,0.376451546546628,0.297469586120984,0.346570815549214
1,1,1,1,0,1,0.22765945143019,0.22765945143019,0.253868718308391,0.321707039743703,0.275347154620587,0.314182614950948
