"Conventional","Bias.Corrected","Robust","X","X.1","X.2","X.3","X.4","X.5","Conventional.1","Bias.Corrected.1","Robust.1","X.6","X.7","X.8","X.9","X.10","X.11"
1,1,1,1,1,1,1,1,1,0.0340197046688359,0.0340197046688359,0.039843469390756,0.0462718829088354,0.0339874380826494,0.0445571015253237,0.037855599940169,0.0401173464431991,0.0400530076418277
1,0,1,1,1,1,1,1,1,0.0380983747368477,0.0380983747368477,0.0442225079730346,0.0540241178454336,0.035219121934291,0.0511131470242957,0.0423941608678902,0.0415864611756758,0.0391669927329417
1,1,1,1,1,1,1,1,1,0.0388306323440227,0.0388306323440227,0.0468678920285263,0.0552888142861714,0.0346325672259616,0.0509591103006463,0.0432089842562824,0.0410691654859727,0.0365303936541793
1,1,1,1,1,1,1,1,1,0.0373848286390434,0.0373848286390434,0.0427360342684096,0.0450642335603283,0.0333770764019965,0.0422388308236484,0.0416001588070171,0.0393425731762334,0.0358242124391694
1,0,1,1,1,1,1,1,1,0.0388759792005879,0.0388759792005879,0.0447933365871161,0.0518162409243208,0.0342348682842378,0.0485968735266899,0.0432594442022868,0.0397391200989279,0.0387031409024729
1,1,1,1,1,1,1,1,1,0.0369024154292139,0.0369024154292139,0.0440527978037337,0.0513020433534306,0.0357312584997514,0.0445905049038769,0.0410633510464875,0.0419205729031673,0.0387360975494938
1,1,1,1,1,1,1,1,1,0.0401780313310371,0.0401780313310371,0.0470339703830477,0.0532619548809286,0.0357433525423062,0.0541129195627189,0.0447083093535673,0.0430073237670614,0.0389033177865433
1,0,1,1,1,1,1,1,1,0.0382755773089486,0.0382755773089486,0.0440956028956145,0.0506234166791124,0.0359377898034868,0.0485310512752897,0.0425913439340902,0.0424896057787177,0.0401601409328488
1,1,1,1,1,1,1,1,1,0.0367048900525316,0.0367048900525316,0.0427856298421192,0.0566343500708778,0.0371756491402531,0.0522094263858741,0.0408435536758017,0.0437934898832534,0.0412788951476629
1,1,1,1,1,1,1,1,1,0.0365054178485927,0.0365054178485927,0.0420976426342553,0.0496604987758556,0.0344895229928015,0.0435052186538861,0.0406215899631535,0.0411167035769451,0.0410200235093151
1,1,1,1,1,1,1,1,1,0.0341970258945969,0.0341970258945969,0.041407833166377,0.0631090085202224,0.0342976273977279,0.04788057429507,0.0380529150388347,0.040664796922869,0.036627720686893
1,1,1,1,1,1,1,1,1,0.033496050232712,0.033496050232712,0.0399215479235092,0.056136126632215,0.0352072528034788,0.0464807314354843,0.0372729007946657,0.0412446347070286,0.0376212557278363
1,1,1,1,1,1,1,1,1,0.0361491324284461,0.0361491324284461,0.042125248887759,0.0618268355591935,0.0347185470085653,0.0477551042307917,0.0402251315441025,0.0412611522049203,0.0362415004572484
1,1,1,0,1,1,1,1,1,0.0365499318642972,0.0365499318642972,0.0424911372322667,0.0525620068384339,0.0354463896021385,0.049478469166298,0.040671123161241,0.042238682332301,0.0386038997052202
1,1,1,1,1,1,1,1,1,0.0362922452320842,0.0362922452320842,0.0432286372606491,0.05299325212906,0.0352420304203989,0.0463720412917408,0.0403843810465182,0.0409561825201192,0.0374572527713116
1,1,1,1,1,1,1,1,1,0.0365681290131082,0.0365681290131082,0.0415808717109655,0.0490044758246312,0.0352358905559925,0.0457528591106054,0.0406913721314229,0.0414805477657863,0.0396052532262189
1,1,1,1,1,1,1,1,1,0.0375366657297043,0.0375366657297043,0.0451544675199748,0.05329965430208,0.0357784115788314,0.0497402189170722,0.0417691163043291,0.0422280585259505,0.0384833384261393
1,1,1,1,1,1,1,1,1,0.0382447230771988,0.0382447230771988,0.0447503064248158,0.0592395156295342,0.0359484106863427,0.0496765549560081,0.0425570107302911,0.0434959457175521,0.0387536233288724
1,1,1,1,1,1,1,1,1,0.0342655481424802,0.0342655481424802,0.0407035019238495,0.0537035239262333,0.0335759444405383,0.0404836223457456,0.03812916351977,0.0391032047632842,0.0397928877227464
1,1,1,1,1,1,1,1,1,0.036599740971097,0.036599740971097,0.0437887893687295,0.0479377390142388,0.0338416887518628,0.0488452892227702,0.0407265484989605,0.0408761216229142,0.0375525832674134
1,1,1,1,1,1,1,1,1,0.0336297373790835,0.0336297373790835,0.0399886437765422,0.055218994137407,0.0361792981297934,0.0431455955748449,0.0374216618488679,0.042254804467943,0.0437296980872548
1,1,1,1,1,1,1,1,1,0.0369793884634549,0.0369793884634549,0.043817951301611,0.0498828100913229,0.0353626138930714,0.0463482381893289,0.0411490031830588,0.0417114871244359,0.0385539704415253
1,1,1,1,1,1,1,1,1,0.0386077295054615,0.0386077295054615,0.0463190443417192,0.0482749490739546,0.0343954090347847,0.0477676573402068,0.0429609479854141,0.0409910912144446,0.0396662916987795
1,0,1,1,1,1,1,1,1,0.0328393074382092,0.0328393074382092,0.0382715689827251,0.0518699603323681,0.0354162409239604,0.0496459722779588,0.0365421068993542,0.0416760078808364,0.0395465605319896
1,1,1,1,1,1,1,1,1,0.031524158422883,0.031524158422883,0.036901199907916,0.0460054002688154,0.0335387636519015,0.0455350724960893,0.035078668122606,0.0394256894596987,0.038994009595598
1,1,1,1,1,1,1,1,1,0.0397749751158513,0.0397749751158513,0.0457382568012557,0.0550472502383177,0.0360446334288362,0.0512967892009844,0.04425980649371,0.0421609204191029,0.0374085812111971
1,1,1,1,1,1,1,1,1,0.037753135239133,0.037753135239133,0.0446935092504476,0.0547568641916623,0.0349776689384862,0.0507899105646718,0.0420099938553822,0.0414045617555458,0.0407369542606455
1,1,1,1,1,1,1,1,1,0.038764041097963,0.038764041097963,0.0466338076239229,0.0648486655369699,0.0367616889417786,0.0480284126673405,0.0431348845074782,0.0439922528906264,0.0352166665237004
1,1,1,1,1,1,1,1,1,0.0345564132309759,0.0345564132309759,0.0402752731007177,0.0505781786799962,0.0352686064416643,0.0469170266734388,0.0384528251309992,0.0413965258357222,0.0409944351558414
1,1,1,1,1,1,1,1,1,0.0377550409004164,0.0377550409004164,0.0442385271432726,0.0459225553194172,0.0341185263821586,0.0504640571919737,0.0420121143896981,0.0397417295138025,0.038121119126257
1,1,1,1,1,1,1,1,1,0.0347989706791103,0.0347989706791103,0.0415226296689606,0.0587723368295516,0.0357570537898456,0.0459799268099476,0.0387227321689487,0.0420296812155265,0.0398221423099421
1,1,1,1,1,1,1,1,1,0.0319886399302241,0.0319886399302241,0.0377860701463937,0.0509670738228973,0.0344009124668924,0.0430728743316924,0.0355955222897035,0.0394466772007676,0.0392623383412953
1,1,1,1,1,1,1,1,1,0.0357040388976951,0.0357040388976951,0.0413745558353075,0.0482225506616081,0.0358801709870522,0.0490833491365356,0.039729851446874,0.0418560874562691,0.0385489267746216
1,1,1,1,1,1,1,1,1,0.0286928223101382,0.0286928223101382,0.03348917847855,0.0461313627086191,0.0320956323724619,0.0347860261755097,0.0319280844175568,0.03716010341446,0.0397179421534741
1,1,1,1,1,1,1,1,1,0.038432979598321,0.038432979598321,0.0459228141966312,0.0493409082146007,0.0342802852050806,0.0532027786240232,0.0427664941346623,0.0412113535698233,0.0392589640775461
