"Conventional","Bias-Corrected","Robust","","","","","","","Conventional","Bias-Corrected","Robust","","","","","",""
1,1,1,1,1,1,1,1,1,5.40180209472505,5.40180209472505,6.41753404788268,6.81007892589556,4.7961080844526,9.99219941756418,6.01088284112006,5.73031449768512,7.66957718709069
1,0,0,1,1,1,1,1,1,7.17591518922,7.17591518922,8.23202594526673,7.5389068629539,5.26376600807021,9.06671416729711,7.98503623861675,5.8539291288081,8.30994220708859
1,1,1,1,1,1,1,1,1,6.81837269913512,6.81837269913512,8.09705029616213,9.2424581762206,5.3267957062879,8.19206653748674,7.58717900857841,6.20671207094307,7.91059952968577
1,1,1,1,1,1,1,1,1,6.19882167132262,6.19882167132262,7.41747622897743,7.71212900165301,5.65924898267709,8.36847266318084,6.89777044140543,6.06927742198474,8.13797591637537
1,1,1,1,1,1,1,1,1,5.95962152171686,5.95962152171686,7.06532615029073,8.69336877366199,5.08607927122228,8.7114568793794,6.63159925452269,6.06547434612457,7.69676853381154
1,1,1,1,1,1,1,1,1,6.59451571387127,6.59451571387127,7.67719518320611,8.14830478267163,5.42781394917758,9.45887890904906,7.33808100609859,5.70834977677294,8.07876282778847
1,1,1,1,1,1,1,1,1,5.48912769709707,5.48912769709707,6.37365253123932,8.41391459412277,5.32096687696606,8.20398037342249,6.10805485069832,5.94494679394114,7.62926496703322
1,1,1,1,1,1,1,1,1,6.72103911876237,6.72103911876237,7.87094990823654,8.95350979113988,5.48287499245215,8.39066147807268,7.47887057041874,5.83576384928934,7.75519627161855
1,1,1,1,1,1,1,1,1,6.14525868847097,6.14525868847097,7.40331938733268,7.31712573134714,5.14543356839692,8.38859348425179,6.83816795895673,6.08820714352312,7.75736818304841
1,1,1,1,1,1,1,1,1,6.00687808062719,6.00687808062719,7.17061449773883,7.33152265360022,5.22356479736209,9.86467928328449,6.68418423155505,5.97904627111377,7.66362566711889
1,1,1,1,1,1,1,1,1,6.39698999488072,6.39698999488072,7.59116571823924,6.24770862377416,5.70563048176375,8.78929605159172,7.11828325450758,5.37818350927732,7.96024096812284
1,1,1,1,1,1,1,1,1,5.25377943610281,5.25377943610281,6.22844210197619,7.02387818016721,4.43777695054772,8.07050613816212,5.84616987252053,5.02992815306524,7.28620858908687
1,1,1,1,1,1,1,1,1,7.66840350141123,7.66840350141123,9.30096393173679,7.6113284869735,4.79176597836308,11.0155926324804,8.53305512070301,6.37646776074423,7.8874197131383
1,1,1,1,1,1,1,1,1,6.55188729842814,6.55188729842814,7.79038333808532,8.81792683242272,4.52474498937075,8.3312840881935,7.29064601932233,6.1418906041908,7.81581674879315
1,1,1,1,1,1,1,1,1,5.53384697909611,5.53384697909611,6.59702922211542,8.6957405490523,5.02274122310004,7.58431571733714,6.15781645990235,6.22068742331659,7.47569262274084
0,0,0,0,0,0,0,0,0,6.90720337631488,6.90720337631488,7.96706246671472,7.36246133833093,4.83960492736313,8.15532441255664,7.68602579782793,5.29620687224392,7.3051309586868
1,1,1,1,1,1,1,1,1,5.40323870421053,5.40323870421053,6.4203504606281,7.98447765184047,3.92489722114341,8.88880310439286,6.01248143565467,5.12514193860234,7.79889861913369
1,1,1,1,1,1,1,1,1,6.10405357722112,6.10405357722112,7.30626738085255,5.94697090923085,4.20353780733022,7.8340704856797,6.7923167611833,4.89299894242314,7.60640599326752
1,1,1,1,1,1,1,1,1,6.00332366754971,6.00332366754971,7.21005555861707,6.49659533495004,5.18747020718847,8.40819880169366,6.68022904026832,5.89685321152038,7.57165229523644
1,1,1,1,1,1,1,1,1,4.97645355723556,4.97645355723556,5.87679187942004,7.60164973864412,5.46526859382257,6.82345517728571,5.53757408588304,6.11498778254234,7.47647620421358
1,1,1,1,1,1,1,1,1,5.89888104091825,5.89888104091825,7.13201828693242,5.52022349358073,4.53052150028148,7.87512138471973,6.56400997461363,5.00147582981092,7.19611302121359
1,1,1,1,1,1,1,1,1,6.14368654932821,6.14368654932821,7.21156565814981,6.92874749540366,4.94268759401542,8.28621355574225,6.8364185531045,5.92247394185355,7.39124389234174
