"Conventional","Bias.Corrected","Robust","X","X.1","X.2","X.3","X.4","X.5","Conventional.1","Bias.Corrected.1","Robust.1","X.6","X.7","X.8","X.9","X.10","X.11"
1,1,1,1,1,1,1,1,1,0.191377868433465,0.191377868433465,0.267989104675438,0.394559475268617,0.217717316877995,0.308472394733103,0.212956699517034,0.250713283940281,0.182246541045804
1,1,1,1,1,1,1,1,1,0.189693950910764,0.189693950910764,0.251713138531854,0.262556415040844,0.186027944428096,0.350861331296152,0.211082911702233,0.252376437500301,0.180556442491049
1,1,1,1,1,1,1,1,1,0.183681797982209,0.183681797982209,0.243580233949842,0.216309696870388,0.188847360975652,0.33192895705685,0.204392857856734,0.250989969785627,0.179706425503574
1,1,1,1,1,1,1,1,1,0.17998211325201,0.17998211325201,0.242063218787655,0.296509967183535,0.192696531299541,0.284720398540795,0.200276014797262,0.179907391728705,0.183389879178703
1,1,1,1,1,1,1,1,1,0.190958573438321,0.190958573438321,0.266631897314759,0.337018194830525,0.195820631566917,0.34593177788391,0.212490126871928,0.229463481760529,0.183143859850891
0,0,1,1,1,1,1,1,1,0.195412103940981,0.195412103940981,0.272078868361896,0.283751164878053,0.22060306180667,0.522860524373714,0.217445815660857,0.196874702612409,0.182711582747276
1,1,1,1,1,1,1,1,1,0.184553644666597,0.184553644666597,0.235716314043574,0.321435105167021,0.199580939076912,0.329179096428458,0.205363009702983,0.23191721818415,0.182772780225591
1,1,1,1,1,1,1,1,1,0.193389427908434,0.193389427908434,0.271440325079237,0.301090817639639,0.213616535544755,0.519385392561633,0.215195072585865,0.244663875108763,0.182293216044087
1,1,1,1,1,1,1,1,1,0.190671394194959,0.190671394194959,0.247073064617256,0.292681775839991,0.185094233220064,0.342616158749513,0.212170566703677,0.221988478653458,0.18160854123549
1,1,1,1,1,1,1,1,1,0.186237452387291,0.186237452387291,0.239645291605897,0.34302468292252,0.194993340873253,0.355971583183683,0.207236675335041,0.218258440234815,0.183983380777044
1,1,1,1,1,1,1,1,1,0.198010383180708,0.198010383180708,0.274452601721781,0.316095455276694,0.20992909285286,0.390481428213478,0.22033706414139,0.241538722264615,0.181388714945587
1,1,1,1,1,1,1,1,1,0.193327365428394,0.193327365428394,0.270162752567091,0.441218297398995,0.188720492565041,0.363681259760181,0.215126012244555,0.265082387626585,0.180350883136606
1,1,1,1,1,1,1,1,1,0.196041283942193,0.196041283942193,0.277852247565443,0.358745706943579,0.155831434890584,0.388082393219085,0.218145938917308,0.194148054445835,0.202614863382062
1,1,1,1,1,1,1,1,1,0.188131896565228,0.188131896565228,0.265461693229293,0.355503944282947,0.169848690707508,0.358198687143757,0.209344727759572,0.203647340781477,0.179092564658975
1,1,1,1,1,1,1,1,1,0.195429243868535,0.195429243868535,0.273180784006704,0.365177651939511,0.201766638437943,0.367633358703142,0.217464888202691,0.201712303702469,0.181257148195107
1,1,1,1,1,1,1,1,1,0.190684959179844,0.190684959179844,0.26745409935425,0.353804810503838,0.203163752701155,0.517656259235244,0.212185661209816,0.233046353945557,0.189947724478504
1,1,1,1,1,1,1,1,1,0.196561698897911,0.196561698897911,0.27184228723112,0.300128402844991,0.195580430463136,0.388249426526471,0.218725033314461,0.225439846480663,0.18610436729442
1,1,1,1,1,1,1,1,1,0.188394319407735,0.188394319407735,0.262635963179566,0.181459838054597,0.161715132926062,0.388693460018834,0.209636740116464,0.187677757895248,0.181165060792928
1,1,1,1,1,1,1,1,1,0.183578215579225,0.183578215579225,0.244724572941847,0.317720343891557,0.18475502060308,0.524869677090575,0.204277596009332,0.214345929676039,0.180113606596186
0,0,0,1,0,1,0,1,0,0.185597735038844,0.185597735038844,0.251478940923723,0.31024607535565,0.171586967412224,0.393161125913847,0.206524826591693,0.199822628674705,0.17983422088006
1,1,1,1,1,1,1,1,1,0.187699137655891,0.187699137655891,0.261769466126114,0.272957630249636,0.213977903031432,0.35103798396599,0.208863173075254,0.245809040461515,0.179986719766264
1,1,1,1,1,1,1,1,1,0.187749106935671,0.187749106935671,0.263635318855893,0.256087288977481,0.208475483476248,0.377305017944945,0.208918776646275,0.242943581737804,0.180262204479384
1,1,1,1,1,1,1,1,1,0.214779455611113,0.214779455611113,0.28067201058733,0.385520714807492,0.21338816808359,0.505339603857004,0.238996935044815,0.243266998666441,0.180521641988373
1,0,1,1,1,1,1,1,1,0.24930621923912,0.24930621923912,0.347414944295285,0.460330694486138,0.225759001626615,0.352523156958753,0.277416767428837,0.258673594108063,0.180335068553996
1,1,1,1,1,1,1,1,1,0.17983089729798,0.17983089729798,0.253448429024163,0.174032996849447,0.204130518089104,0.269657271019358,0.200107748472905,0.182090319021273,0.179037209779044
1,1,1,1,1,0,1,1,1,0.1916415267588,0.1916415267588,0.270042810768623,0.429509179020046,0.155870405131594,0.521077769853515,0.213250086663746,0.234556117718568,0.180516941094248
