"Conventional_coverage","Bias.Corrected_coverage","rdrobust_coverage","RDHonest_coverage","plrd_coverage","Conventional_width","Bias.Corrected_width","rdrobust_width","RDHonest_width","plrd_width"
1,1,1,1,1,4.4488521468609,4.4488521468609,5.21658727503987,5.64017491271456,2.54595910321396
1,1,1,1,1,4.73992240421832,4.73992240421832,5.79154938125281,7.4737421445901,3.43221198082964
1,1,1,1,1,6.27205504453282,6.27205504453282,7.70352893632214,8.32273852635748,2.61279521245593
1,1,1,1,1,6.18805711974018,6.18805711974018,7.13222079110645,7.56255661666183,3.98740493548912
1,1,1,1,1,8.8265015218372,8.8265015218372,8.1258559784403,8.37844384975436,5.2284449187507
1,1,1,1,1,10.8216722782053,10.8216722782053,12.3317227763019,13.0265376476228,5.56655062259942
1,0,0,1,1,5.29261610235543,5.29261610235543,6.09573139875654,8.06905304306044,4.79779458853279
1,1,1,1,1,4.34359419508418,4.34359419508418,4.82572499622214,6.3050575048097,5.3297111331097
1,1,1,1,1,3.94904679916571,3.94904679916571,4.73100573599242,5.21036600087374,2.77447851921032
1,1,1,1,1,6.95557276415832,6.95557276415832,8.1470743746087,6.99683748131716,5.03702264645439
1,1,1,1,1,6.69166951351178,6.69166951351178,8.04375980817741,6.8614309853061,3.17267079995425
1,1,1,1,1,3.54037106576712,3.54037106576712,4.23353893552093,4.22902284879809,2.55310279714375
1,1,1,1,1,3.75033621531961,3.75033621531961,4.51633882749986,4.99577611922576,2.58512054247349
1,1,1,1,1,4.14146740909698,4.14146740909698,4.85629359805565,5.0877209304786,3.70697612629479
1,1,1,1,1,4.9195312150856,4.9195312150856,5.71595808841438,6.10918211746115,3.23431694976919
1,1,1,1,1,4.48323922815925,4.48323922815925,5.34075970560082,5.86698502670561,2.62970000610304
1,1,1,1,1,6.12323208546288,6.12323208546288,8.02806161413549,7.92590404631945,6.30543334542744
