"Conventional_coverage","Bias.Corrected_coverage","rdrobust_coverage","RDHonest_coverage","plrd_coverage","Conventional_width","Bias.Corrected_width","rdrobust_width","RDHonest_width","plrd_width"
1,1,1,1,1,0.0600626167765567,0.0600626167765567,0.0737551361660354,0.129232621781524,0.0479781028276238
1,1,1,1,1,0.0554064079513417,0.0554064079513417,0.0674553048094816,0.123858981716227,0.0693459924765989
1,1,1,1,1,0.0535824267253078,0.0535824267253078,0.064743648093303,0.124889116557141,0.0732407403441573
0,0,0,1,1,0.0666945085386227,0.0666945085386227,0.0773401551847741,0.125050707642173,0.071834247708649
1,1,1,1,1,0.0574894931154159,0.0574894931154159,0.070272006831953,0.127558161677472,0.0485464447721571
1,1,1,1,1,0.0630488932043858,0.0630488932043858,0.0765147152214504,0.13840431451601,0.0480960867780522
1,1,1,1,1,0.0615257689461665,0.0615257689461665,0.0718447479122575,0.133614210950693,0.0675016772610365
1,1,1,1,1,0.0678371173209955,0.0678371173209955,0.0802226197080399,0.12967309252966,0.0474100729251406
1,1,1,1,1,0.0568966766402328,0.0568966766402328,0.0697908427863487,0.120432788165151,0.0724873411732842
1,1,1,1,1,0.0584456477189205,0.0584456477189205,0.0709868130723686,0.13217514453906,0.0736681826949221
1,1,1,1,1,0.0609096861652488,0.0609096861652488,0.0752100228610409,0.131060730417212,0.0497149775837976
1,1,1,1,1,0.0590440875539883,0.0590440875539883,0.0727623647859929,0.118962575960184,0.070132228159894
1,0,1,1,1,0.0541111818298129,0.0541111818298129,0.0634232000878626,0.124960853171021,0.0467819467686893
1,1,1,1,1,0.0552110781591387,0.0552110781591387,0.06804984912411,0.121791626347658,0.0492762695992614
1,1,1,1,1,0.0572740351176275,0.0572740351176275,0.07005307020832,0.11235048587835,0.0486887731216983
1,1,1,1,1,0.0604752626127079,0.0604752626127079,0.0735109611388341,0.115292783650134,0.048152566339103
1,1,1,1,1,0.0501464674942963,0.0501464674942963,0.0605557255350133,0.119618243111507,0.0756308143936303
1,1,1,1,1,0.0566491166718848,0.0566491166718848,0.0660068463547785,0.125753093400293,0.0478690010683432
1,1,1,1,1,0.0656040186862891,0.0656040186862891,0.0761776631373105,0.112398642892093,0.0490095725889337
1,0,0,1,1,0.0678650045402859,0.0678650045402859,0.0772512138856176,0.127339913375616,0.0703098401183543
1,1,1,1,1,0.0548305473137792,0.0548305473137792,0.066407084213977,0.127515402039361,0.0485278335580899
1,0,1,1,1,0.0583427352883985,0.0583427352883985,0.0681254633387796,0.118784370064556,0.047660946858846
1,1,1,1,1,0.0573483780266408,0.0573483780266408,0.0698677556925656,0.115761358165181,0.0471428655804445
1,1,1,1,1,0.0520896305650675,0.0520896305650675,0.062509059307977,0.109033397826991,0.0495259740346873
1,1,1,1,1,0.0588186148710211,0.0588186148710211,0.0709250653531182,0.112618239577155,0.0483534002355856
1,1,1,1,1,0.0564225657118777,0.0564225657118777,0.0694607772155271,0.133314125087551,0.071810923560924
1,1,1,1,0,0.0609065093465467,0.0609065093465467,0.0753085093410434,0.128135957298537,0.0713967096378663
1,1,1,1,1,0.0567805476815472,0.0567805476815472,0.0687840451906738,0.11982974492497,0.0481199093436223
1,1,1,1,1,0.0594899102952715,0.0594899102952715,0.0710323566525102,0.125093260805615,0.0477832790342887
1,1,1,1,1,0.0553647852664859,0.0553647852664859,0.066875625005595,0.119339631048138,0.0680789901456344
1,1,1,1,1,0.0596326452871091,0.0596326452871091,0.0729112447031977,0.132413169419125,0.0716337621770081
1,1,1,1,1,0.056507622325733,0.056507622325733,0.068588165148099,0.126158349906328,0.0726090971470282
1,1,1,1,1,0.0599151217682983,0.0599151217682983,0.0731823581708985,0.126433625249463,0.0479327898937278
1,1,1,1,1,0.059326485722159,0.059326485722159,0.0729165284898808,0.134841061898218,0.0707484706188759
1,1,1,1,1,0.0588098732715556,0.0588098732715556,0.0712977035920723,0.127064910414936,0.0488282415998386
1,1,1,1,1,0.0621786897888483,0.0621786897888483,0.0751821499805393,0.130883328134147,0.0484795660858917
1,1,1,1,1,0.058506785876473,0.058506785876473,0.0716986725129804,0.115033608857886,0.0489773055563934
1,1,1,1,1,0.0521629498221262,0.0521629498221262,0.0622284404976642,0.117857562605576,0.0704302715198215
1,1,1,1,1,0.0572721122303755,0.0572721122303755,0.0694846801146842,0.1271929191602,0.0668990124124906
1,1,1,1,1,0.0541831196727363,0.0541831196727363,0.0651347839359415,0.113300557875905,0.0741282762542413
0,0,1,1,1,0.059087893495427,0.059087893495427,0.0726290904829913,0.127019182373445,0.0473713181992086
1,1,1,1,1,0.0592217391144678,0.0592217391144678,0.0719173091749851,0.122873275594298,0.0485440721562611
1,1,1,1,1,0.0536152725309579,0.0536152725309579,0.0654861028834991,0.119447579409403,0.0479527041190029
1,1,1,1,1,0.0519819637117209,0.0519819637117209,0.0629221386351905,0.123534187884976,0.0740717272994348
1,1,1,1,1,0.0586644201131737,0.0586644201131737,0.0721237751046491,0.129975721096412,0.0725617609007118
1,1,1,1,1,0.0589807402433026,0.0589807402433026,0.0714855342980909,0.126893424954044,0.0475158866731768
1,1,1,1,1,0.0564091077237373,0.0564091077237373,0.0692089362065122,0.121580740688513,0.0722561029435985
1,0,1,1,1,0.0516905057545859,0.0516905057545859,0.0627337766867787,0.135177227065148,0.0739458200067626
1,1,1,1,1,0.0589699584037054,0.0589699584037054,0.0727711140426492,0.130283453537349,0.0476867498526945
